Code,Description
13381,Suturing of eye using stent
12256,Repair of pelvis using catheter
12073,Biopsy of heart using endoscope
70882,MRI scan of neck with contrast
15607,Suturing of leg using scalpel
13585,Biopsy of eye using catheter
14816,Excision of heart using catheter
90470,Therapy session - routine check
10275,Reconstruction of heart using stent
70130,X-ray of eye with contrast
90741,Vaccination - preventive screening
70953,X-ray of ear with contrast
91106,Consultation - preventive screening
80254,DNA screening evaluation
12578,Drainage of heart using laparoscope
80900,Tissue analysis evaluation
15700,Repair of kidney using scalpel
90482,Therapy session - follow-up visit
15326,Reconstruction of kidney using stent
13684,Excision of ear using laser
11118,Reconstruction of liver using laser
11056,Drainage of heart using laser
11583,Excision of heart using scalpel
70874,Ultrasound of pelvis with contrast
80759,Culture test evaluation
80175,Culture test evaluation
15941,Excision of abdomen using catheter
12972,Biopsy of chest using scalpel
13882,Excision of kidney using stent
15324,Excision of brain using laser
10103,Biopsy of kidney using scalpel
12123,Drainage of brain using laser
80147,Culture test evaluation
14510,Repair of eye using stent
16452,Suturing of skin using stent
13525,Repair of heart using endoscope
91032,Therapy session - follow-up visit
13085,Biopsy of lungs using catheter
14709,Suturing of knee using laparoscope
11324,Suturing of lungs using scalpel
80607,Blood test evaluation
12457,Drainage of knee using endoscope
70661,CT scan of knee with contrast
13550,Excision of spine using stent
11670,Suturing of liver using endoscope
16590,Excision of spine using endoscope
15487,Excision of heart using laparoscope
11380,Drainage of spine using stent
13419,Excision of kidney using laparoscope
00208,Sedation for eye surgery
14293,Suturing of pelvis using endoscope
91242,Consultation - routine check
15499,Repair of leg using scalpel
70726,MRI scan of pelvis with contrast
12133,Biopsy of lungs using endoscope
13995,Suturing of liver using stent
11107,Biopsy of knee using laser
15706,Excision of lungs using stent
13388,Excision of eye using laparoscope
10427,Excision of leg using stent
80397,DNA screening evaluation
11779,Biopsy of ear using endoscope
70781,X-ray of spine with contrast
11220,Drainage of spine using stent
10814,Excision of liver using laparoscope
70847,Fluoroscopy of kidney with contrast
71030,MRI scan of eye with contrast
90975,Physical exam - follow-up visit
10758,Reconstruction of skin using endoscope
70324,MRI scan of spine with contrast
80993,Culture test evaluation
16173,Excision of abdomen using stent
11282,Biopsy of pelvis using laser
16568,Biopsy of spine using endoscope
90533,Physical exam - routine check
15354,Biopsy of knee using endoscope
70036,MRI scan of chest with contrast
13434,Suturing of neck using catheter
80462,Blood test evaluation
13427,Excision of ear using scalpel
90755,Therapy session - preventive screening
12206,Reconstruction of eye using laparoscope
16200,Biopsy of spine using catheter
11571,Excision of liver using laparoscope
10317,Reconstruction of arm using laser
90554,Physical exam - follow-up visit
14431,Repair of knee using catheter
70268,CT scan of liver with contrast
15008,Biopsy of kidney using catheter
70327,CT scan of arm with contrast
70157,MRI scan of arm with contrast
15147,Repair of knee using catheter
13360,Excision of knee using laser
14075,Repair of brain using endoscope
10949,Excision of lungs using stent
11925,Suturing of leg using catheter
10574,Drainage of brain using catheter
10490,Repair of eye using endoscope
70191,Ultrasound of lungs with contrast
13805,Reconstruction of kidney using scalpel
13025,Drainage of lungs using scalpel
12135,Suturing of lungs using scalpel
15820,Drainage of skin using catheter
12042,Excision of liver using laparoscope
14753,Drainage of kidney using endoscope
90352,Vaccination - follow-up visit
10371,Biopsy of arm using endoscope
12227,Suturing of eye using endoscope
80209,Tissue analysis evaluation
14595,Drainage of kidney using endoscope
13071,Reconstruction of kidney using scalpel
00200,General anesthesia for neck surgery
70667,Fluoroscopy of chest with contrast
10108,Biopsy of skin using endoscope
12714,Reconstruction of brain using laparoscope
15665,Reconstruction of spine using catheter
16450,Excision of brain using stent
80219,DNA screening evaluation
12317,Drainage of lungs using laparoscope
12677,Drainage of heart using laparoscope
10538,Excision of kidney using catheter
14954,Biopsy of brain using endoscope
90825,Vaccination - routine check
80521,DNA screening evaluation
10495,Suturing of neck using endoscope
14726,Drainage of spine using endoscope
16284,Drainage of abdomen using endoscope
13735,Reconstruction of lungs using scalpel
81086,DNA screening evaluation
70264,Fluoroscopy of neck with contrast
14443,Biopsy of pelvis using endoscope
14071,Drainage of pelvis using stent
13096,Reconstruction of ear using endoscope
91049,Physical exam - preventive screening
13300,Reconstruction of knee using scalpel
16034,Biopsy of liver using catheter
15914,Drainage of neck using laser
12480,Repair of arm using catheter
80567,Culture test evaluation
14119,Excision of liver using laser
70638,CT scan of liver with contrast
11963,Reconstruction of neck using laparoscope
13437,Drainage of pelvis using stent
80643,Blood test evaluation
11728,Reconstruction of spine using laser
12362,Excision of leg using catheter
70093,MRI scan of neck with contrast
14610,Drainage of chest using laparoscope
14006,Biopsy of brain using scalpel
11588,Biopsy of chest using laser
14838,Suturing of neck using endoscope
00199,Sedation for chest surgery
90478,Vaccination - routine check
14402,Biopsy of spine using stent
10309,Suturing of ear using laparoscope
13174,Biopsy of liver using scalpel
10689,Biopsy of spine using scalpel
11027,Drainage of liver using scalpel
80122,DNA screening evaluation
80613,Culture test evaluation
12346,Excision of skin using stent
90414,Physical exam - routine check
15747,Excision of heart using laparoscope
12336,Repair of ear using endoscope
12341,Biopsy of pelvis using endoscope
70136,Fluoroscopy of knee with contrast
10629,Biopsy of pelvis using catheter
13418,Reconstruction of brain using scalpel
80886,Blood test evaluation
80844,Blood test evaluation
16646,Repair of knee using endoscope
10863,Repair of neck using laser
70020,X-ray of liver with contrast
90592,Consultation - routine check
11331,Repair of pelvis using laser
80667,Tissue analysis evaluation
11219,Reconstruction of ear using endoscope
15634,Drainage of lungs using scalpel
13459,Suturing of heart using endoscope
16468,Reconstruction of neck using endoscope
13086,Excision of abdomen using endoscope
91108,Therapy session - routine check
14990,Biopsy of ear using laser
10934,Reconstruction of spine using laser
15567,Excision of knee using endoscope
80790,DNA screening evaluation
11496,Excision of brain using scalpel
80751,Blood test evaluation
10079,Repair of skin using catheter
14641,Drainage of arm using stent
80942,DNA screening evaluation
80112,Culture test evaluation
10162,Biopsy of chest using laparoscope
14074,Biopsy of knee using laser
11648,Repair of kidney using stent
15457,Drainage of eye using laparoscope
70494,MRI scan of arm with contrast
15610,Biopsy of arm using laser
11315,Repair of kidney using stent
91154,Vaccination - routine check
91058,Physical exam - preventive screening
70459,Fluoroscopy of ear with contrast
80724,Tissue analysis evaluation
11285,Drainage of eye using catheter
11311,Drainage of liver using stent
14558,Repair of ear using stent
13706,Drainage of spine using endoscope
90504,Physical exam - routine check
90286,Therapy session - routine check
90879,Physical exam - follow-up visit
15973,Reconstruction of kidney using endoscope
80283,DNA screening evaluation
15356,Repair of kidney using stent
90373,Therapy session - preventive screening
15502,Drainage of liver using stent
10168,Reconstruction of neck using laparoscope
70174,MRI scan of arm with contrast
91047,Vaccination - preventive screening
70430,Ultrasound of heart with contrast
15459,Biopsy of knee using endoscope
12870,Drainage of kidney using laparoscope
15120,Drainage of kidney using laser
90851,Therapy session - preventive screening
14287,Suturing of kidney using scalpel
14065,Repair of knee using catheter
70140,Ultrasound of chest with contrast
00305,Sedation for spine surgery
16378,Drainage of eye using scalpel
11443,Suturing of lungs using stent
14363,Biopsy of neck using laparoscope
13060,Suturing of leg using laparoscope
11776,Reconstruction of brain using endoscope
12016,Excision of chest using laparoscope
91133,Vaccination - follow-up visit
12292,Repair of eye using laser
10537,Excision of heart using scalpel
10455,Excision of arm using stent
15851,Repair of eye using catheter
10072,Reconstruction of arm using stent
14348,Excision of eye using laser
13441,Reconstruction of skin using scalpel
00270,General anesthesia for kidney surgery
12785,Drainage of neck using stent
11896,Suturing of ear using endoscope
15984,Suturing of brain using laser
15128,Biopsy of ear using endoscope
14655,Biopsy of kidney using catheter
13112,Suturing of eye using catheter
16439,Suturing of abdomen using laparoscope
70778,MRI scan of pelvis with contrast
14678,Suturing of leg using stent
14873,Excision of liver using laparoscope
80630,Tissue analysis evaluation
10203,Excision of kidney using scalpel
10337,Reconstruction of knee using endoscope
16533,Reconstruction of pelvis using laparoscope
10514,Excision of ear using scalpel
00198,Local anesthesia for knee surgery
11590,Reconstruction of kidney using laser
80692,Tissue analysis evaluation
11231,Biopsy of lungs using stent
16407,Drainage of arm using endoscope
10344,Excision of spine using scalpel
14622,Repair of pelvis using stent
10910,Excision of knee using laparoscope
80768,Tissue analysis evaluation
15311,Biopsy of chest using endoscope
91181,Vaccination - preventive screening
80640,Blood test evaluation
15376,Biopsy of neck using scalpel
80896,Blood test evaluation
13245,Suturing of pelvis using scalpel
16172,Suturing of eye using endoscope
10791,Suturing of eye using endoscope
11712,Excision of neck using endoscope
91206,Consultation - follow-up visit
90433,Vaccination - follow-up visit
11729,Suturing of arm using endoscope
13183,Suturing of liver using scalpel
11734,Excision of heart using endoscope
80929,DNA screening evaluation
12170,Reconstruction of spine using catheter
14111,Repair of spine using endoscope
90457,Physical exam - routine check
70711,X-ray of abdomen with contrast
14978,Biopsy of leg using endoscope
15441,Biopsy of arm using laser
13954,Drainage of liver using scalpel
15627,Excision of leg using endoscope
16249,Biopsy of ear using catheter
12878,Repair of ear using laparoscope
12224,Excision of chest using laparoscope
13511,Repair of skin using scalpel
15401,Drainage of brain using scalpel
80688,Culture test evaluation
10052,Biopsy of spine using laser
00124,General anesthesia for spine surgery
11059,Excision of heart using scalpel
80773,Tissue analysis evaluation
11472,Excision of brain using stent
12179,Suturing of liver using catheter
10025,Biopsy of heart using stent
12109,Excision of skin using catheter
80148,Tissue analysis evaluation
90815,Consultation - routine check
11329,Excision of abdomen using laparoscope
11484,Biopsy of brain using endoscope
16593,Excision of kidney using laser
14721,Drainage of pelvis using catheter
13065,Excision of kidney using endoscope
14634,Drainage of brain using laser
13325,Drainage of spine using stent
12225,Reconstruction of neck using endoscope
12277,Biopsy of neck using endoscope
13526,Reconstruction of arm using scalpel
11384,Excision of heart using scalpel
10307,Excision of arm using scalpel
10667,Reconstruction of arm using scalpel
14284,Suturing of lungs using stent
11203,Drainage of heart using catheter
90834,Consultation - routine check
15100,Repair of leg using scalpel
13067,Biopsy of leg using scalpel
00266,Sedation for chest surgery
80113,Tissue analysis evaluation
90863,Physical exam - follow-up visit
11289,Suturing of eye using endoscope
15101,Biopsy of pelvis using scalpel
70997,CT scan of chest with contrast
14769,Biopsy of leg using laparoscope
14786,Suturing of spine using scalpel
10169,Suturing of kidney using catheter
00116,General anesthesia for chest surgery
14577,Suturing of spine using scalpel
70566,Ultrasound of neck with contrast
13497,Drainage of abdomen using laser
80951,DNA screening evaluation
14930,Excision of eye using scalpel
12061,Excision of arm using laparoscope
91176,Physical exam - routine check
80742,Tissue analysis evaluation
70180,X-ray of heart with contrast
10600,Suturing of eye using laser
11218,Drainage of spine using laser
15617,Drainage of liver using laser
90349,Consultation - follow-up visit
91096,Physical exam - preventive screening
80628,Blood test evaluation
11536,Excision of chest using laparoscope
16517,Drainage of lungs using endoscope
10938,Biopsy of kidney using laparoscope
11288,Drainage of brain using laparoscope
12550,Drainage of heart using scalpel
91065,Consultation - routine check
15680,Reconstruction of kidney using stent
70524,X-ray of leg with contrast
90455,Therapy session - routine check
10957,Excision of heart using scalpel
90387,Therapy session - follow-up visit
90872,Physical exam - preventive screening
14188,Drainage of knee using catheter
90318,Vaccination - follow-up visit
11294,Repair of arm using laser
14336,Repair of brain using stent
11490,Reconstruction of knee using laparoscope
70805,X-ray of heart with contrast
15472,Reconstruction of leg using stent
91098,Consultation - routine check
15305,Drainage of skin using stent
16278,Reconstruction of brain using laser
11326,Excision of chest using scalpel
12540,Reconstruction of abdomen using laser
14414,Reconstruction of skin using endoscope
12532,Drainage of lungs using catheter
13791,Reconstruction of brain using laser
11799,Suturing of eye using stent
15453,Excision of abdomen using stent
80703,DNA screening evaluation
12088,Biopsy of lungs using scalpel
11774,Drainage of kidney using catheter
15687,Drainage of skin using scalpel
14301,Reconstruction of arm using endoscope
13530,Excision of neck using laparoscope
12970,Suturing of heart using endoscope
70868,CT scan of neck with contrast
14945,Excision of kidney using scalpel
70321,X-ray of skin with contrast
90451,Therapy session - routine check
70639,Fluoroscopy of arm with contrast
70695,Ultrasound of heart with contrast
70990,Fluoroscopy of spine with contrast
80559,DNA screening evaluation
70175,CT scan of neck with contrast
15574,Repair of abdomen using endoscope
15302,Suturing of eye using laser
13968,Drainage of arm using endoscope
91140,Physical exam - routine check
16237,Excision of eye using catheter
90709,Physical exam - preventive screening
14956,Excision of liver using endoscope
80276,Tissue analysis evaluation
91170,Consultation - routine check
70802,CT scan of spine with contrast
15953,Repair of brain using catheter
90597,Vaccination - routine check
15007,Suturing of liver using laparoscope
13842,Reconstruction of heart using laparoscope
14765,Reconstruction of abdomen using catheter
70168,CT scan of arm with contrast
14983,Excision of lungs using scalpel
80334,DNA screening evaluation
80140,Tissue analysis evaluation
10985,Suturing of chest using laparoscope
15928,Repair of skin using endoscope
11869,Suturing of knee using laparoscope
80066,DNA screening evaluation
14028,Suturing of skin using catheter
80736,Culture test evaluation
12491,Repair of chest using catheter
90676,Therapy session - follow-up visit
00158,General anesthesia for leg surgery
12899,Biopsy of abdomen using laparoscope
10352,Repair of arm using scalpel
12996,Excision of pelvis using laparoscope
15375,Biopsy of lungs using stent
14424,Excision of knee using scalpel
16043,Suturing of lungs using catheter
11828,Drainage of spine using stent
80227,Blood test evaluation
15393,Drainage of lungs using laparoscope
10503,Reconstruction of knee using scalpel
14496,Biopsy of pelvis using laser
15480,Excision of brain using catheter
10931,Repair of abdomen using stent
13449,Reconstruction of eye using catheter
12266,Suturing of leg using stent
15231,Biopsy of neck using laparoscope
15803,Drainage of liver using scalpel
81083,Blood test evaluation
80893,Tissue analysis evaluation
16077,Excision of kidney using stent
80376,Blood test evaluation
15655,Excision of leg using scalpel
00292,General anesthesia for leg surgery
12022,Excision of eye using endoscope
15619,Excision of liver using laser
10125,Excision of eye using scalpel
12466,Repair of arm using scalpel
90918,Consultation - preventive screening
13608,Excision of skin using laparoscope
12668,Excision of pelvis using endoscope
13750,Repair of knee using laser
10843,Excision of pelvis using laser
70394,MRI scan of brain with contrast
80061,Culture test evaluation
15282,Excision of arm using laser
13566,Repair of spine using stent
14317,Repair of lungs using stent
15671,Repair of lungs using stent
15673,Suturing of kidney using laparoscope
15030,Drainage of abdomen using laparoscope
14309,Biopsy of ear using laser
13430,Suturing of brain using catheter
90783,Vaccination - routine check
16521,Repair of skin using endoscope
16098,Drainage of spine using scalpel
13721,Suturing of eye using endoscope
80401,DNA screening evaluation
14098,Biopsy of kidney using catheter
11269,Excision of brain using laser
13072,Repair of heart using laparoscope
15730,Reconstruction of knee using scalpel
90627,Consultation - preventive screening
91040,Consultation - follow-up visit
70050,Fluoroscopy of spine with contrast
12008,Drainage of chest using scalpel
15960,Suturing of lungs using stent
16419,Reconstruction of chest using catheter
80188,DNA screening evaluation
80449,DNA screening evaluation
90494,Physical exam - preventive screening
12606,Repair of heart using laparoscope
11160,Repair of brain using stent
00268,General anesthesia for eye surgery
14896,Excision of ear using stent
90589,Therapy session - preventive screening
90616,Vaccination - routine check
80647,Blood test evaluation
80815,Blood test evaluation
90489,Therapy session - follow-up visit
13444,Biopsy of neck using scalpel
14735,Repair of brain using endoscope
11161,Repair of skin using laparoscope
11204,Reconstruction of neck using laser
00279,Sedation for pelvis surgery
12361,Drainage of skin using laser
70947,Ultrasound of skin with contrast
11074,Excision of abdomen using laser
16645,Excision of spine using scalpel
12681,Biopsy of leg using endoscope
11907,Drainage of abdomen using endoscope
14244,Excision of ear using laser
15124,Excision of skin using scalpel
10270,Repair of brain using laparoscope
90985,Consultation - routine check
12255,Repair of abdomen using laser
70041,CT scan of skin with contrast
11618,Suturing of arm using stent
12838,Reconstruction of heart using laparoscope
71102,CT scan of brain with contrast
12439,Biopsy of liver using endoscope
11353,Suturing of neck using laparoscope
10249,Reconstruction of brain using laparoscope
80381,DNA screening evaluation
16313,Biopsy of eye using catheter
11970,Biopsy of knee using stent
11715,Excision of neck using laser
16224,Suturing of leg using catheter
10790,Biopsy of arm using endoscope
00172,Local anesthesia for abdomen surgery
14037,Drainage of lungs using laser
90715,Vaccination - preventive screening
80652,Blood test evaluation
14662,Repair of spine using catheter
80958,DNA screening evaluation
13166,Repair of knee using laparoscope
90889,Vaccination - preventive screening
13290,Suturing of brain using scalpel
13474,Reconstruction of knee using scalpel
80952,DNA screening evaluation
16436,Drainage of ear using laser
10439,Repair of ear using endoscope
90532,Physical exam - routine check
12274,Suturing of pelvis using stent
11766,Biopsy of leg using catheter
10891,Excision of neck using laser
10230,Reconstruction of kidney using laser
70810,X-ray of arm with contrast
10735,Excision of eye using laser
80764,Culture test evaluation
70580,Ultrasound of neck with contrast
16389,Drainage of neck using stent
16038,Excision of neck using scalpel
12106,Drainage of arm using endoscope
80448,DNA screening evaluation
14283,Reconstruction of kidney using stent
70085,Ultrasound of skin with contrast
10191,Reconstruction of brain using laparoscope
13293,Drainage of neck using scalpel
12071,Biopsy of leg using endoscope
16550,Biopsy of lungs using scalpel
90892,Consultation - preventive screening
70955,Ultrasound of leg with contrast
12040,Drainage of arm using endoscope
81009,Tissue analysis evaluation
13639,Drainage of heart using stent
10372,Suturing of neck using laser
13386,Excision of eye using catheter
12860,Reconstruction of heart using laparoscope
11492,Drainage of eye using stent
16111,Drainage of ear using laser
13161,Suturing of heart using endoscope
13322,Biopsy of kidney using laparoscope
70285,Fluoroscopy of lungs with contrast
80528,Blood test evaluation
10474,Excision of heart using endoscope
80757,Tissue analysis evaluation
80721,Blood test evaluation
16252,Biopsy of abdomen using endoscope
70829,Fluoroscopy of lungs with contrast
16193,Reconstruction of heart using laser
12639,Suturing of heart using catheter
10127,Reconstruction of skin using laparoscope
15079,Suturing of neck using laparoscope
10746,Excision of kidney using catheter
15328,Repair of lungs using scalpel
80135,Tissue analysis evaluation
14639,Biopsy of heart using laparoscope
14149,Suturing of arm using laparoscope
16495,Reconstruction of heart using catheter
90805,Therapy session - preventive screening
70303,X-ray of knee with contrast
15085,Suturing of brain using scalpel
10085,Excision of ear using stent
12114,Repair of liver using laparoscope
13760,Reconstruction of heart using scalpel
71085,Ultrasound of liver with contrast
10282,Excision of heart using catheter
91016,Physical exam - preventive screening
13298,Excision of skin using laser
70980,Ultrasound of ear with contrast
70704,CT scan of pelvis with contrast
14124,Drainage of brain using catheter
80524,Culture test evaluation
81070,Culture test evaluation
10969,Excision of leg using stent
11946,Biopsy of knee using endoscope
11357,Excision of liver using laparoscope
13592,Repair of lungs using catheter
00265,Local anesthesia for abdomen surgery
11395,Repair of eye using laparoscope
11834,Biopsy of brain using laser
14525,Drainage of pelvis using catheter
80052,DNA screening evaluation
10408,Drainage of eye using catheter
10272,Repair of brain using catheter
12285,Suturing of eye using laser
16343,Suturing of knee using laser
10978,Reconstruction of skin using scalpel
13548,Drainage of lungs using endoscope
70032,X-ray of leg with contrast
14165,Repair of skin using stent
13231,Excision of heart using laser
12421,Suturing of arm using endoscope
10555,Drainage of skin using endoscope
10509,Biopsy of abdomen using catheter
13780,Excision of liver using laser
10265,Reconstruction of knee using laparoscope
80794,Culture test evaluation
70237,Fluoroscopy of abdomen with contrast
15425,Repair of skin using stent
80466,Culture test evaluation
15965,Repair of chest using laparoscope
15251,Repair of brain using stent
13457,Biopsy of arm using endoscope
70569,MRI scan of chest with contrast
16212,Excision of neck using laser
16607,Drainage of pelvis using scalpel
70185,CT scan of ear with contrast
00108,Sedation for lungs surgery
12132,Repair of liver using laparoscope
12174,Excision of abdomen using laparoscope
11430,Biopsy of neck using laser
80625,Tissue analysis evaluation
80582,Culture test evaluation
15211,Reconstruction of eye using endoscope
91169,Therapy session - preventive screening
70253,Ultrasound of kidney with contrast
80696,DNA screening evaluation
13641,Repair of brain using stent
12995,Excision of spine using laparoscope
13836,Biopsy of liver using scalpel
12617,Repair of lungs using laparoscope
14897,Suturing of arm using laparoscope
80963,Culture test evaluation
14387,Drainage of knee using stent
81061,DNA screening evaluation
15380,Drainage of spine using endoscope
16471,Repair of eye using scalpel
10882,Excision of chest using endoscope
70985,Fluoroscopy of knee with contrast
10246,Reconstruction of knee using scalpel
90903,Vaccination - preventive screening
80557,Culture test evaluation
90553,Vaccination - follow-up visit
12712,Suturing of lungs using scalpel
14280,Suturing of arm using laparoscope
90282,Consultation - preventive screening
14550,Suturing of chest using endoscope
10999,Suturing of kidney using endoscope
90650,Therapy session - routine check
70983,MRI scan of pelvis with contrast
70472,X-ray of pelvis with contrast
15821,Suturing of brain using laparoscope
70510,Ultrasound of eye with contrast
16335,Suturing of kidney using scalpel
70057,X-ray of eye with contrast
91135,Vaccination - routine check
10278,Suturing of pelvis using laparoscope
15058,Biopsy of pelvis using stent
13612,Excision of heart using laparoscope
13365,Suturing of arm using catheter
70076,X-ray of spine with contrast
13556,Biopsy of pelvis using catheter
12564,Excision of abdomen using laser
13680,Biopsy of eye using stent
11921,Biopsy of lungs using stent
13385,Suturing of chest using laparoscope
12953,Drainage of eye using laser
70570,Ultrasound of heart with contrast
14153,Biopsy of eye using scalpel
81004,Blood test evaluation
12966,Repair of kidney using catheter
14790,Reconstruction of kidney using laparoscope
80803,Blood test evaluation
70835,CT scan of arm with contrast
14032,Drainage of chest using stent
14570,Suturing of knee using laparoscope
10355,Suturing of knee using laser
00287,Local anesthesia for lungs surgery
70767,MRI scan of skin with contrast
90435,Consultation - follow-up visit
10677,Repair of eye using scalpel
12591,Drainage of skin using catheter
80809,Blood test evaluation
90867,Therapy session - routine check
70878,Fluoroscopy of arm with contrast
11726,Reconstruction of leg using endoscope
16227,Reconstruction of spine using catheter
11412,Drainage of spine using laparoscope
11001,Reconstruction of spine using endoscope
14614,Repair of spine using stent
12385,Repair of kidney using catheter
80961,Blood test evaluation
81003,DNA screening evaluation
10415,Biopsy of kidney using endoscope
15830,Reconstruction of kidney using scalpel
15319,Drainage of leg using stent
81013,Blood test evaluation
90653,Consultation - preventive screening
12942,Excision of spine using endoscope
16413,Drainage of skin using catheter
70626,Ultrasound of abdomen with contrast
12488,Suturing of leg using stent
15449,Reconstruction of heart using catheter
12629,Biopsy of knee using stent
14291,Biopsy of kidney using stent
10506,Suturing of liver using endoscope
10578,Biopsy of liver using stent
16062,Drainage of abdomen using endoscope
13903,Excision of heart using scalpel
11504,Repair of leg using laparoscope
14094,Excision of leg using catheter
15814,Suturing of kidney using scalpel
15777,Drainage of brain using catheter
90406,Physical exam - routine check
15276,Suturing of heart using scalpel
90948,Consultation - follow-up visit
12910,Biopsy of lungs using scalpel
81058,Culture test evaluation
14407,Biopsy of spine using endoscope
10353,Biopsy of chest using stent
80978,Tissue analysis evaluation
14016,Drainage of brain using catheter
80739,DNA screening evaluation
80282,Blood test evaluation
13699,Suturing of arm using laparoscope
80053,Blood test evaluation
11163,Reconstruction of spine using laparoscope
16262,Repair of kidney using scalpel
80920,Culture test evaluation
70116,Ultrasound of ear with contrast
15119,Excision of eye using scalpel
10159,Suturing of kidney using laser
70612,CT scan of pelvis with contrast
15571,Biopsy of neck using endoscope
13422,Biopsy of neck using endoscope
13740,Reconstruction of kidney using laser
10909,Repair of eye using stent
90605,Therapy session - preventive screening
15207,Biopsy of knee using endoscope
16508,Drainage of eye using scalpel
16205,Excision of liver using endoscope
91160,Consultation - preventive screening
90905,Consultation - follow-up visit
10024,Suturing of skin using laparoscope
80804,DNA screening evaluation
14539,Drainage of chest using laser
90568,Consultation - follow-up visit
16006,Repair of knee using laser
11860,Repair of skin using laser
70814,X-ray of abdomen with contrast
13377,Reconstruction of heart using scalpel
80597,Culture test evaluation
13036,Drainage of abdomen using laser
12464,Repair of heart using scalpel
15935,Drainage of liver using catheter
15098,Suturing of skin using catheter
15947,Reconstruction of kidney using laparoscope
13956,Excision of arm using endoscope
14192,Excision of spine using stent
90291,Vaccination - routine check
13845,Repair of arm using catheter
11874,Suturing of heart using scalpel
15635,Reconstruction of spine using laser
10386,Drainage of knee using catheter
10331,Reconstruction of kidney using catheter
10748,Repair of leg using laser
12252,Repair of chest using endoscope
14664,Reconstruction of pelvis using scalpel
80817,Tissue analysis evaluation
10264,Repair of chest using endoscope
80117,DNA screening evaluation
80192,Blood test evaluation
80828,Tissue analysis evaluation
10391,Repair of knee using scalpel
13898,Repair of knee using catheter
14250,Reconstruction of ear using catheter
13408,Repair of liver using scalpel
14548,Reconstruction of skin using laparoscope
13267,Excision of lungs using laser
80321,Tissue analysis evaluation
16457,Suturing of lungs using laparoscope
70511,CT scan of leg with contrast
11153,Excision of pelvis using endoscope
12279,Drainage of ear using laser
11565,Repair of abdomen using laparoscope
15926,Drainage of arm using scalpel
12816,Excision of neck using stent
16103,Suturing of abdomen using catheter
80095,Tissue analysis evaluation
70938,Fluoroscopy of lungs with contrast
70758,CT scan of heart with contrast
91085,Vaccination - routine check
80911,Culture test evaluation
80189,Blood test evaluation
14024,Drainage of leg using catheter
11253,Drainage of brain using laser
70978,CT scan of arm with contrast
80577,Blood test evaluation
14606,Reconstruction of skin using laser
13362,Reconstruction of arm using endoscope
14404,Excision of neck using catheter
10626,Drainage of abdomen using endoscope
15462,Drainage of heart using scalpel
10274,Biopsy of ear using laparoscope
10418,Drainage of knee using catheter
80487,DNA screening evaluation
12320,Repair of arm using stent
11214,Drainage of arm using endoscope
12798,Drainage of arm using endoscope
14741,Reconstruction of neck using stent
91110,Therapy session - preventive screening
70519,CT scan of heart with contrast
11968,Drainage of knee using endoscope
15187,Biopsy of ear using catheter
16031,Suturing of neck using scalpel
70715,CT scan of neck with contrast
10314,Drainage of liver using laser
15057,Repair of abdomen using laparoscope
12565,Biopsy of chest using endoscope
16577,Excision of eye using catheter
15445,Excision of lungs using laparoscope
90526,Therapy session - routine check
12029,Excision of neck using scalpel
10697,Reconstruction of spine using laser
12614,Reconstruction of spine using scalpel
14010,Biopsy of liver using stent
15373,Drainage of ear using laparoscope
16093,Reconstruction of leg using laser
11601,Drainage of eye using laparoscope
70752,Ultrasound of spine with contrast
15280,Drainage of lungs using laparoscope
12795,Excision of abdomen using scalpel
91232,Consultation - follow-up visit
10669,Suturing of brain using stent
70210,X-ray of abdomen with contrast
14643,Excision of arm using laparoscope
10679,Reconstruction of brain using stent
11245,Reconstruction of pelvis using stent
13468,Suturing of eye using endoscope
80435,Blood test evaluation
16358,Suturing of liver using catheter
11444,Biopsy of kidney using endoscope
14566,Reconstruction of ear using scalpel
14140,Excision of arm using laser
80645,DNA screening evaluation
15145,Excision of lungs using catheter
70286,MRI scan of skin with contrast
80073,DNA screening evaluation
12378,Biopsy of liver using laparoscope
90737,Vaccination - preventive screening
12450,Reconstruction of kidney using laparoscope
70181,Fluoroscopy of eye with contrast
80352,Blood test evaluation
13042,Repair of abdomen using laser
12003,Excision of kidney using laser
15690,Reconstruction of lungs using laser
12329,Biopsy of liver using laser
16501,Biopsy of spine using scalpel
90791,Therapy session - preventive screening
70305,Fluoroscopy of leg with contrast
10612,Excision of skin using stent
80882,DNA screening evaluation
90765,Physical exam - follow-up visit
70623,CT scan of kidney with contrast
11067,Drainage of pelvis using stent
10098,Suturing of heart using catheter
10569,Repair of ear using laser
13496,Reconstruction of neck using catheter
16016,Reconstruction of chest using stent
14534,Suturing of leg using stent
15786,Biopsy of lungs using scalpel
16136,Suturing of heart using laser
13651,Suturing of skin using endoscope
70852,X-ray of neck with contrast
15359,Reconstruction of knee using laser
16441,Suturing of eye using laser
11604,Suturing of spine using scalpel
00248,Local anesthesia for eye surgery
16155,Biopsy of chest using laparoscope
11105,Excision of knee using laparoscope
80772,Tissue analysis evaluation
13710,Suturing of leg using laparoscope
13755,Excision of skin using catheter
12380,Repair of spine using catheter
13830,Drainage of heart using stent
15497,Reconstruction of skin using catheter
15033,Drainage of heart using endoscope
12066,Biopsy of leg using laser
10370,Biopsy of pelvis using scalpel
70491,X-ray of neck with contrast
13226,Repair of heart using laser
13669,Excision of knee using stent
15923,Suturing of lungs using endoscope
11435,Excision of abdomen using laparoscope
